date | value
2011-01-03  | 3
2011-01-03 |  2
2011-01-03 |1
2011-01-03| 1.2
2011-01-09  |1
2012-01-11|  -1
2001-42-42
2012-01-11 | 1   
2012-01-11  |  2147483648
2009-00-15 |
2010-13-01 |
2015-00-10 |
2020-13-20 |
2022-00-05 |
2009-04-31 |
2011-06-31 |
2012-09-31 |
2013-11-31 |
2014-02-29 |
2015-02-30 |
2016-04-31 |
2017-06-31 |
2018-09-31 |
2019-11-31 |
2020-04-31 |
2021-06-31 |
2022-02-30 |
2009-01-32 |
2010-02-30 |
2011-03-32 |
2012-05-32 |
2013-07-32 |
2014-08-32 |
2015-10-32 |
2016-12-32 |
2017-01-32 |
2018-02-30 |
2019-03-32 |
2020-05-32 |
2021-07-32 |
2022-03-32 |
2010-02-29 |
2014-02-29 |
2018-02-29 |
2022-02-29 |
2009-02-00 |
2012-11-00 |
2016-09-00 |
2020-05-00 |
